Serial,Series,Season,Episode,Question,Answer,Comic Reference Needed?,Other External Knowledge,Other Series,Speculative
WVS1E3_Q4,WandaVision,1,3,"In Ep 3, when Dr. Nielson talks about his cancelled vacation to Bermuda, what thematic MCU connection might this imply?","Bermuda references the Bermuda Triangle (the Devil's Triangle), paralleling Westview as a similar mysterious geographical trap where people/vehicles (like the S.W.O.R.D. drone) mysteriously disappear into a ""Bermuda Hexagon"".",,Y,,Y
WVS1E3_Q5,WandaVision,1,3,"In Ep 3, Vision recites the famous monologue ""All the world's a stage, and all the men and women merely players."" Where is this from?","It is the ""Seven Ages of Man"" monologue from William Shakespeare's play As You Like It.",,Y,,
WVS1E3_Q6,WandaVision,1,3,"In Ep 3, what classic Marvel TV show is subtly referenced by the commercial for Hydra Soak soap?","It references Marvel's Agents of S.H.I.E.L.D., specifically Season 4 where Phil Coulson lived in a simulated reality called ""The Framework"" and ranted about Hydra using blue mind-control soap to implant false memories.",,Y,,
WVS1E3_Q7,WandaVision,1,3,"In Ep 3, when Wanda realizes Geraldine is an outsider, she expels her. How is the visual representation of this ""breaking the fourth wall"" executed?","Wanda blasts Monica/Geraldine backward through four distinct walls in succession: the living room wall, the nursery wall, the backyard fence, and finally the Westview hex barrier itself.",,,,
WVS1E3_Q8,WandaVision,1,3,"What dark, unresolved trauma does Wanda accidentally bring up when speaking to Geraldine in Ep 3?",Wanda mentions that she had a twin brother named Pietro (Quicksilver) who was killed by Ultron in Sokovia (Avengers: Age of Ultron).,,,,
WVS1E4_Q1,WandaVision,1,4,"In Ep 4, during the opening scene of Monica Rambeau re-materializing, what voice audio from a previous MCU movie can be heard in the background?","Audio from Captain Marvel (2019) plays, specifically Carol Danvers calling young Monica ""Lieutenant Trouble"".",,,,
WVS1E4_Q2,WandaVision,1,4,"In Ep 4, how is the visual effect of the ""Blip return"" subtly different for Monica compared to the dusting effect seen in Infinity War?","Instead of gray, desaturated ash flying away, Monica reforms from colorful, non-desaturated fleshy particles—mirroring Joe Quesada's art of Wanda's reality-altering powers in the House of M comics.",Y,,,
WVS1E4_Q3,WandaVision,1,4,"What superhero alter ego does Monica Rambeau adopt in the Marvel comics, which is subtly hinted at by a news channel name in the S.W.O.R.D. lobby?","Her superhero alias is ""Spectrum,"" which is foreshadowed by the ""Spectrum News"" broadcast playing in the S.W.O.R.D. lobby.",Y,,,
WVS1E4_Q4,WandaVision,1,4,"In Ep 4, what kind of cosmic radiation does Darcy Lewis identify emanating from the Westview anomaly?","Darcy identifies CMBR (Cosmic Microwave Background Radiation), which is relic radiation dating back to the Big Bang (and the same type of radiation emitted by Infinity Stones).",,Y,,
WVS1E4_Q5,WandaVision,1,4,"In Ep 4, on Jimmy Woo's suspect whiteboard, which alien race is listed under ""Possible Perpetrators"" for the anomaly?","The Skrulls are written on the board, confirming the FBI is aware of Skrulls operating on Earth post-Captain Marvel/Spider-Man: Far From Home.",,,,
WVS1E4_Q6,WandaVision,1,4,"In Ep 4, whose physical identity does S.W.O.R.D. fail to match to a real-world New Jersey ID on their investigation board?","Agnes (Kathryn Hahn's character) has no real-world New Jersey ID matched to her face, heavily suggesting she is not a normal kidnapped civilian.",,,,
WVS1E4_Q7,WandaVision,1,4,"In Ep 4, when Wanda turns around to look at Vision after expelling Monica, what horrifying image flashes on screen?","Wanda hallucinates Vision as a gray, dead corpse with a massive caved-in hole in his forehead, exactly how he looked after Thanos killed him in Avengers: Infinity War.",,,,
WVS1E4_Q8,WandaVision,1,4,"In Ep 4, what song plays during the closing credits, and what thematic relevance does it have?","Jimi Hendrix's ""Voodoo Child"" plays, which thematically references the chaos magic, witchcraft, and voodoo involved in Wanda's reality-warping hex.",,Y,,
WVS1E5_Q1,WandaVision,1,5,"In Ep 5, how does the ""Previously On"" segment subtly show that Wanda's hex is becoming unstable and breaking the fourth wall?","The dialogue of Wanda explaining Geraldine's departure shifts (""She's gone"" -> ""She had to rush home"" -> ""She didn't belong here""), actively rewriting the past recap footage as if the hex is leaking into the Disney+ stream itself.",,,,
WVS1E5_Q2,WandaVision,1,5,"In Ep 5, what book does Vision mention reading to the babies, and what Marvel lore concept does it thematically parallel?","He reads Charles Darwin's The Descent of Man, a book about human evolution, which parallels the fear and arrival of Mutants (X-Men) replacing lesser-evolved humans in the Marvel universe.",Y,Y,,
WVS1E5_Q3,WandaVision,1,5,"In Ep 5, which 1980s sitcoms are directly homaged in the opening credits and set design?","The opening homages Family Ties (family portrait/set design), Growing Pains (progressing age photos/duet theme), and Full House (the park picnic run and the show that launched Elizabeth Olsen's sisters' careers).",,Y,,
WVS1E5_Q4,WandaVision,1,5,"In Ep 5, during Monica's briefing on Wanda's past, what is the significance of the year 1989?","1989 is listed as the year Wanda and Pietro were born in Sokovia, meaning they were 10 years old during the Stark bomb air raid.",,,Avengers: Age of Ultron,
WVS1E5_Q5,WandaVision,1,5,"In Ep 5, what dark origin does Sparky the dog have in the Marvel comics?","In Tom King's Vision comic series, Sparky was originally Zeke, a neighbor's dog who died digging up the Grim Reaper's corpse and was later resurrected/synthesized by Vision.",Y,,,
WVS1E5_Q6,WandaVision,1,5,"In Ep 5, what famous paper towel brand is spoofed in the commercial, and what trauma of Wanda's does it represent?","The commercial is for ""Lagos"" brand paper towels (""for when you make a mess you didn't mean to""). This references the tragic event in Captain America: Civil War when Wanda accidentally blew up a building in Lagos, Nigeria, killing innocent people.",,,Captain America: Civil War,
WVS1E5_Q7,WandaVision,1,5,"In Ep 5, why is the casting of Evan Peters as Pietro / Quicksilver a massive meta-twist?","Evan Peters played Quicksilver in the Fox X-Men movie franchise, not the MCU (where Aaron Taylor-Johnson played him). His arrival suggests a multiverse crossover or a malicious entity wearing the face of a different universe's Pietro to trick Wanda.",,Y,,
WVS1E5_Q8,WandaVision,1,5,"In Ep 5, look closely at the mirror behind Wanda when Pietro enters the door. What horrifying detail is hidden in the reflection?","The reflection is warped and shows a thin, gray, creepy arm/figure reaching out toward Pietro, hinting that a demonic entity (possibly Mephisto or Agatha) is pulling the strings behind his appearance.",,,,Y
WVS1E6_Q1,WandaVision,1,6,"In Ep 6, which early 2000s sitcom is directly homaged by the opening credits style and character direct-to-camera addresses?","The episode directly homages Malcolm in the Middle with its punk music, fast-cut graphics, and direct-to-camera kid tropes.",,Y,,
WVS1E6_Q2,WandaVision,1,6,"In Ep 6, what classic comic book looks do Wanda, Vision, Billy, and Tommy wear for Halloween?","They all wear exact, low-budget versions of their original Marvel Comics costumes: Wanda as a ""Sokovian fortune teller"" (Scarlet Witch), Vision as a Mexican wrestler (Vision), Billy as Wiccan, and Tommy as Speed.",Y,,,
WVS1E6_Q3,WandaVision,1,6,"In Ep 6, what subtle clue hints that Evan Peters' Pietro is a fake/imposter during his conversation with Billy and Tommy on the couch?","Pietro claims to be asleep by loudly snoring, but a split-focus shot reveals his eyes are actually wide open and he is actively listening to the boys suspecting he is a ""vampire"".",,,,
WVS1E6_Q4,WandaVision,1,6,"In Ep 6, what morbid Marvel entity is suggested to be manipulating Wanda through the disturbing ""Yo-Magic"" yogurt commercial?","The commercial depicts a starving boy on an island unable to open a Yo-Magic cup, eventually rotting into a skeleton. This implies a predator (like Mephisto) is feeding off Wanda's magic while she emotionally starves in the void.",Y,,,Y
WVS1E6_Q5,WandaVision,1,6,"In Ep 6, which two movies are playing at the Westview cinema, and why are they thematically significant?","The Incredibles (about a superhero family with similar powers) and The Parent Trap (about twins trying to trick their parents into staying together) are playing, reflecting the Maximoff family dynamic in the hex.",,Y,,
WVS1E6_Q6,WandaVision,1,6,"In Ep 6, how does Darcy Lewis explain the physical changes happening to Monica Rambeau's body after passing through the hex?","Darcy reveals that the hex's energy is rewriting Monica's cells on a molecular level, foreshadowing her eventual transformation into the super-powered hero Photon/Spectrum.",Y,,,
WVS1E6_Q7,WandaVision,1,6,"In Ep 6, what terrifying hallucination does Wanda have of Pietro when she looks at him during their conversation?","Just like she hallucinated Vision's dead corpse in Ep 4, Wanda briefly hallucinates Pietro as a gray corpse riddled with bullet holes (matching his death in Avengers: Age of Ultron).",,,Avengers: Age of Ultron,
WVS1E6_Q8,WandaVision,1,6,"In Ep 6, what is S.W.O.R.D. Director Hayward's secret ""Project Cataract"" tracking?",Project Cataract (a term for when a cloud forms on the eye that decays one's vision) is tracking the vibranium decay signature of Vision inside the hex.,,,,
WVS1E7_Q1,WandaVision,1,7,"In Ep 7, how does the delivery of Wanda's line ""Previously on WandaVision"" reflect her deteriorating mental state?","The delivery of the phrase becomes progressively less cheerful, less enthusiastic, and more exhausted compared to previous episodes, reflecting her worsening mental state as the illusion collapses.",,,,
WVS1E7_Q2,WandaVision,1,7,"In Ep 7, the opening credits and documentary-style confession cams homage which three modern sitcoms?","The opening sequence is a fusion of The Office (piano music), Happy Endings (rapidly shifting titles), and Modern Family (logo font, handheld camerawork, and confession cams).",,Y,,
WVS1E7_Q3,WandaVision,1,7,"In Ep 7, what famous Marvel creator's birthdate is hidden on the license plate during the opening credits?","The license plate reads ""122822"", which is a nod to Stan Lee's birthday (December 28, 1922).",,Y,,
WVS1E7_Q4,WandaVision,1,7,"In Ep 7, what drug commercial is featured, and what major Marvel cosmic concept does it directly reference regarding Wanda?","The commercial is for ""Nexus"" anti-depressants. This references Wanda Maximoff being a ""Nexus Being"" in Marvel lore—an entity with the power to alter timelines, realities, and probability.",Y,,,
WVS1E7_Q5,WandaVision,1,7,"In Ep 7, what terrifying insect does Wanda see on Agnes's curtains right before discovering the basement, and what movie does this nod to?","Wanda sees a cicada. This is a deliberate nod to The Silence of the Lambs (where Clarice sees a moth in Buffalo Bill's house), signaling she has entered the killer's lair.",,Y,,
WVS1E7_Q6,WandaVision,1,7,"In Ep 7, what ancient, glowing book is resting in Agnes's creepy basement dungeon?","The book is the Darkhold, the ancient Marvel Book of the Sins/Dead created by the demon Chthon, which contains dark magic and corrupted spells.",Y,,Agents of S.H.I.E.L.D.,
WVS1E7_Q7,WandaVision,1,7,"In Ep 7, what true identity is finally revealed during the musical montage at the end of the episode?","Agnes reveals herself to be the powerful witch Agatha Harkness, and that it was ""Agatha All Along"" manipulating events behind the scenes.",Y,,,
WVS1E7_Q8,WandaVision,1,7,"In Ep 7, during the ""Agatha All Along"" sequence, what secret regarding Sparky the dog is revealed?",Agatha happily admits that she was the one who purposefully killed Sparky the dog.,,,,
WVS1E8_Q1,WandaVision,1,8,"In Ep 8, what specific crime was Agatha Harkness put on trial for by her own coven in 1693 Salem?","Agatha was accused of betraying her coven by stealing forbidden knowledge ""above her age and station"" (implied to be from the Darkhold).",,,,
WVS1E8_Q2,WandaVision,1,8,"In Ep 8, what does Agatha's mother (Evanora Harkness) attempt to form around her head while executing Agatha, and why is it significant?","Evanora forms a blue magical crown/tiara. This signifies the crown of the dominant/supreme witch of the coven, which Agatha wants to claim from Wanda.",,,,
WVS1E8_Q3,WandaVision,1,8,"In Ep 8, how did the Stark Industries bomb from Wanda's childhood actually fail to detonate?","It didn't fail by chance; young Wanda instinctively used a probability hex (Chaos Magic) to stop the bomb from exploding, proving she was born with mutant-like magic before the Mind Stone.",Y,,,
WVS1E8_Q4,WandaVision,1,8,"In Ep 8, what specific Dick Van Dyke Show episode does Wanda choose to watch during the Stark bombing flashback?","She watches ""It May Look Like a Walnut"", a famous episode that blends sitcom comedy with a scary, Twilight Zone-style sci-fi plot about aliens (paralleling Westview's genre-bending reality).",,Y,,
WVS1E8_Q5,WandaVision,1,8,"In Ep 8, what figure does Wanda see inside the yellow radiation glow of the Mind Stone during her Hydra experimentation?","Wanda sees the silhouette of her future self—or an alternate reality version—fully dressed as the Scarlet Witch, wearing the iconic comic-accurate crown.",Y,,,
WVS1E8_Q6,WandaVision,1,8,"In Ep 8, what heartbreaking definition of ""grief"" does Vision offer Wanda in their Avengers compound flashback?","Vision tells her, ""What is grief, if not love persevering?""",,,,
WVS1E8_Q7,WandaVision,1,8,"In Ep 8, what S.W.O.R.D. project is Director Hayward secretly working on with Vision's dismantled body?","He is using Project Cataract to reconstruct and reboot Vision as a soulless, emotionless sentient weapon known as ""White Vision"" (matching the Vision Quest comics storyline).",Y,,,
WVS1E8_Q8,WandaVision,1,8,"In Ep 8, what two major comic book terms/titles does Agatha formally use to address Wanda for the very first time in the MCU?","Agatha finally names her power ""Chaos Magic"" and bestows Wanda her official superhero title, the ""Scarlet Witch"".",Y,,,
WVS1E9_Q1,WandaVision,1,9,"In Ep 9, how does White Vision's combat style evolve during his fight with Vision?","White Vision learns from his opponent; initially thrown off by Vision phasing through him, White Vision learns to use the same phase-shifting tactic against Vision during their fight in the library.",,,,
WVS1E9_Q2,WandaVision,1,9,"In Ep 9, how does Agatha Harkness confirm the identity of her glowing book, and what is its comic book origin?","She explicitly names it the Darkhold, the ""Book of the Damned."" In the comics, it is an ancient collection of corrupt spells created by Chthon (the demon lord who originally cursed baby Wanda with chaos magic).",Y,,Agents of S.H.I.E.L.D.,
WVS1E9_Q3,WandaVision,1,9,"In Ep 9, what real historical tragedy is tied to ""Dottie's"" true identity as Sarah Proctor?","Dottie is revealed to be Sarah Proctor, named after the real-world daughter of John Proctor (who was famously hanged) during the 1692 Salem Witch Trials.",,Y,,
WVS1E9_Q4,WandaVision,1,9,"In Ep 9, what mundane clues finally reveal the true identity of Evan Peters' ""Pietro""?","Monica Rambeau finds his water bill and a headshot, proving he is just a broke, aspiring actor named Ralph Bohner whose house Agatha took over.",,,,
WVS1E9_Q5,WandaVision,1,9,"In Ep 9, how does Vision successfully defeat S.W.O.R.D.'s White Vision without physical combat?","Vision uses logic/philosophy, posing the ""Ship of Theseus"" paradox to White Vision to prove that neither of them are the true Vision, but both possess elements of his true identity (specifically his memories, which Vision restores).",,Y,,
WVS1E9_Q6,WandaVision,1,9,"In Ep 9, what physical evidence proves that the ""hex"" Vision was real, despite being made entirely of Wanda's magic?","Director Hayward's monitors successfully tracked Vision's vibranium decay signature inside the hex, proving Wanda actually created tangible vibranium and a real physical body using her Chaos Magic.",,,,
WVS1E9_Q7,WandaVision,1,9,"In Ep 9, what subtle detail changes on Wanda's hand as the final walls of the Westview hex collapse?","As the hex recedes over her body, the magical engagement and wedding rings disappear from her left hand, symbolizing the end of her manufactured marriage.",,,,
WVS1E9_Q8,WandaVision,1,9,"In Ep 9, what MCU theme song plays over the post-credits scene of Wanda reading the Darkhold, and what does it foreshadow?","Michael Giacchino's Doctor Strange theme plays, foreshadowing Wanda's powerful new magical status and her inevitable return in Doctor Strange in the Multiverse of Madness.",,Y,Doctor Strange,
LKS1E1_Q1,Loki,1,1,"In S1E1, what specific sound effect plays over the opening Marvel Studios logo to connect the scene back to Avengers: Endgame?",The 4-note chime from the Endgame musical score plays—specifically from the scene when Tony Stark snuck back into the tower.,,,Avengers: Endgame,
LKS1E1_Q2,Loki,1,1,"In S1E1, what subtle audio detail highlights Loki's initial reverence for the Tesseract, which fades once he learns the truth about Infinity Stones?","A full choral hum plays when he holds the Tesseract in the desert, representing his worship of it as a sacred item of power. This hum is noticeably absent when he later sees a drawer full of them used as paperweights.",,,,
LKS1E1_Q3,Loki,1,1,"In S1E1, Hunter B-15 tortures Loki using what sci-fi/technological concept?","She uses Time Dilation, hitting him at 1/16th speed so he feels the pain of the strike in real-time but stretched out 16 times longer.",,Y,,
LKS1E1_Q4,Loki,1,1,"In S1E1, the Miss Minutes orientation video references a ""multiversal war."" How does this rewrite known MCU history?","It establishes that the MCU originally existed as a vast multiverse of warring timelines before the Time-Keepers intervened to merge them all into a single ""Sacred Timeline.""",,,,
LKS1E1_Q5,Loki,1,1,"In S1E1, which real-world unsolved historical mystery is Loki revealed to be the culprit behind?","Loki is revealed to be D.B. Cooper, the infamous 1971 airplane hijacker who vanished with a bag of cash (due to losing a bet to Thor).",,Y,,
LKS1E1_Q6,Loki,1,1,"In S1E1, what specific term does Miss Minutes use to describe people who step off their destined path, referencing a concept from WandaVision?","She says it creates a ""Nexus Event"" (connecting to Wanda Maximoff's status as a ""Nexus Being"").",,,WandaVision,
LKS1E1_Q7,Loki,1,1,"In S1E1, what specific Marvel item from Casey's evidence drawer confirms that the TVA operates across the entire multiverse/timeline?","The drawer contains countless Infinity Stones (Time, Space, Reality, Power, Soul) from pruned branch timelines being casually used as paperweights.",,,,
LKS1E1_Q8,Loki,1,1,"In S1E1, what numerical designation is printed on the film strip reel depicting Loki's life, confirming his MCU continuity number?","The film strip reads ""ETH-616"" (Earth-616), which designates the main continuity of the Marvel Universe.",Y,,,
LKS1E2_Q1,Loki,1,2,"In S1E2, how does the show visually distinguish between the ""Sacred Timeline"" and a ""Branched Timeline""?","The on-screen lower-third text explicitly labels the location and year, followed by ""Sacred Timeline"" or ""Branched Timeline"" to clarify if the events are happening as dictated by the Time-Keepers or if it is an illegal deviation.",,,,
LKS1E2_Q2,Loki,1,2,"In S1E2, what specific philosophical paradox does the Miss Minutes orientation test use to explain timeline branching?","The test uses the Grandfather Paradox, applying it to Thanos eating apples and traveling back in time to eat them again.",,Y,,
LKS1E2_Q3,Loki,1,2,"In S1E2, how does Loki correct Mobius regarding his powers, outlining the difference between two specific types of magic?","Loki distinguishes between ""Illusion Projection"" (projecting a shape-shifted form over himself or an object) and ""Duplication Casting"" (creating independent, holographic doubles of himself to trick enemies).",,,,
LKS1E2_Q4,Loki,1,2,"In S1E2, what MCU locations are listed on the TVA monitors as locations where branch timelines were recently pruned?",Nidavellir (the star forge where Thor crafted Stormbreaker) and Sakaar (the trash planet from Thor: Ragnarok) tick past on the monitors.,,,Thor: Ragnarok,
LKS1E2_Q5,Loki,1,2,"In S1E2, what item sits in Judge Renslayer's office that hints at Mobius's forgotten past on Earth?","A pen from Franklin D. Roosevelt High School (FDR High) in Ohio sits on her desk, which she claims is from ""another analyst,"" hinting that Mobius's past memories were wiped.",,,,Y
LKS1E2_Q6,Loki,1,2,"In S1E2, what clever theory does Loki deduce about where the dangerous Variant is hiding to evade TVA detection?","Loki figures out the Variant is hiding inside historical apocalypses (like Ragnarok or Pompeii). Because everyone is destined to die anyway, any changes made right before the apocalypse won't create a branch timeline.",,,,
LKS1E2_Q7,Loki,1,2,"In S1E2, what specific apocalyptic event does the Variant use as a staging ground in 2050?","A Category 8 Hurricane hitting Haven Hills, Alabama, wiping out the corporate ""Roxxcart"" superstore (a nod to the evil Marvel corporation Roxxon Energy).",Y,,,
LKS1E2_Q8,Loki,1,2,"In S1E2, when the Variant finally reveals herself (Sylvie), what physical detail on her crown hints at her broken connection to her Loki identity?","One of the golden horns on her crown is snapped/broken off, reflecting her rejection of the ""Loki"" name and her fractured identity.",Y,,,
LKS1E3_Q1,Loki,1,3,"In S1E3, what massive, dark secret about the TVA's workforce does Sylvie reveal to Loki?","Sylvie reveals that the TVA agents (like Mobius and Hunter C-20) were not created by the Time-Keepers as they believe; they are all actually abducted, brainwashed Variants from Earth who had their memories wiped.",,,,
LKS1E3_Q2,Loki,1,3,"In S1E3, when Sylvie and Loki crash onto Lamentis-1 in 2077, what existing MCU lore does this planet tie into?","Lamentis is an outworld planet on the edge of Kree space from the ""Annihilation"" Marvel comics. The year 2077 places it roughly six decades after Thanos destroyed Xandar (off-screen in Infinity War).",Y,,Avengers: Infinity War,
LKS1E3_Q3,Loki,1,3,"In S1E3, what famous sci-fi movie is heavily referenced by the mining colony setting and the names of the guards (Private Hudson and Corporal Hicks)?","It is a direct reference to James Cameron's 1986 film ""Aliens"" (set on LV-426, featuring characters Hudson and Hicks).",,Y,,
LKS1E3_Q4,Loki,1,3,"In S1E3, during their conversation on the train, what major detail about Loki's sexual identity is explicitly confirmed in MCU canon?",Loki confirms that he is bisexual (stating he has had romantic interests with both princesses and princes).,,,,
LKS1E3_Q5,Loki,1,3,"In S1E3, when Loki gets drunk on the train and starts singing, what language is he singing in, and what is the cultural significance?","He is singing an Asgardian folk song (which translates to real-world Norwegian), and his drunken behavior mimics Thor's behavior in the first Thor film (smashing a glass and demanding ""Another!"").",,Y,Thor,
LKS1E3_Q6,Loki,1,3,"In S1E3, how does Loki poetically define love when talking to Sylvie?","He says, ""Love is a dagger. It's a weapon to be wielded far away or up close. You can see yourself in it. It's beautiful until it makes you bleed. But ultimately, when you reach for it... it isn't real.""",,,,
LKS1E3_Q7,Loki,1,3,"In S1E3, what impressive, continuous camera technique is used during the final escape sequence through the collapsing city of Shuroo?","The sequence is designed as a continuous ""long take"" (a faux one-shot, stitched together with hidden cuts) following Loki and Sylvie as meteors destroy the city around them.",,Y,,
LKS1E3_Q8,Loki,1,3,"In S1E3, what new, previously unseen magical ability does Loki demonstrate while fighting off the guards and reversing the falling tower?",Loki demonstrates powerful telekinesis—using magic to physically halt and reverse a collapsing building to save himself and Sylvie.,,,,
LKS1E4_Q1,Loki,1,4,"In S1E4, young Sylvie is seen playing with a toy dragon and wolf. What Asgardian lore do these toys reference?","The toys reference the Muspelheim dragon that Thor slayed in the opening of Thor: Ragnarok, and Fenris, Hela's giant wolf steed.",,,Thor: Ragnarok,
LKS1E4_Q2,Loki,1,4,"In S1E4, what is the comic book significance of the Hunter designation ""A-23"" assigned to the young Ravonna Renslayer?","It references Avengers #23 (1963), the comic issue that marked the debut of Princess Ravonna Renslayer and established her complex romantic relationship with the time-traveling villain Kang the Conqueror.",Y,,,
LKS1E4_Q3,Loki,1,4,"In S1E4, how does the connection between Loki and Sylvie on Lamentis-1 create a massive Nexus Event capable of surviving an apocalypse?","Their profound, narcissistic/romantic connection—two free, surviving Lokis falling for each other instead of killing each other—represents the ultimate threat to the Sacred Timeline's script, causing a massive, un-prunable branch.",,,,
LKS1E4_Q4,Loki,1,4,"In S1E4, what punishment is Loki subjected to in the ""Time Cell,"" and who makes a surprise cameo to deliver it?","Loki is trapped in a painfully looped ""bad memory"" prison where Lady Sif (Jaimie Alexander making a cameo) repeatedly beats him up and calls him a pathetic worm for cutting her hair.",,,Thor,
LKS1E4_Q5,Loki,1,4,"In S1E4, what three dangerous types of Variants does Mobius mention the TVA has brought in previously, expanding the scope of the MCU?","Mobius mentions bringing in ""Kree, Titans, and Vampires,"" referencing the Kree empire, Thanos's race (Titans), and officially confirming the existence of Vampires in the MCU (setting up Blade).",Y,,,
LKS1E4_Q6,Loki,1,4,"In S1E4, what shocking truth is revealed when Sylvie decapitates the central Time-Keeper?","The Time-Keepers are revealed to be fake, mindless, animatronic androids (like Chuck E. Cheese robots), proving the TVA's entire religion and origin story is a lie created by a ""man behind the curtain.""",,,,
LKS1E4_Q7,Loki,1,4,"In S1E4, what immediately happens to Loki after the Time-Keepers are exposed as fakes?","Right as Loki is about to confess his true feelings to Sylvie, Ravonna Renslayer prunes him from behind, seemingly killing him.",,,,
LKS1E4_Q8,Loki,1,4,"In S1E4, what major reveal happens during the mid-credits scene after Loki is pruned?","Loki wakes up in a ruined wasteland (The Void) and realizes he is not dead, only to be greeted by four other pruned Loki variants: Classic Loki, Boastful Loki, Kid Loki, and an Alligator Loki.",Y,,,
LKS1E5_Q1,Loki,1,5,"In S1E5, what infamous, massive vehicle belonging to the Mad Titan is seen rusted and pruned in the Void?","The ""Thanoscopter,"" a notoriously goofy toy-pushing vehicle from the Marvel comics used by Thanos, is seen pruned in the Void.",Y,,,
LKS1E5_Q2,Loki,1,5,"In S1E5, the camera pans through the dirt to reveal a buried MCU relic and a surprising animal variant trapped in a jar. What are they?","A buried Mjolnir is seen next to a jar containing ""Throg"" (a frog variant of Thor wearing a winged helmet), desperately trying to escape.",Y,,,
LKS1E5_Q3,Loki,1,5,"In S1E5, what specific comic book issue is referenced by the label ""T-365"" on Throg's jar?","It references Thor #365, the comic issue where Thor is turned into a frog by Loki.",Y,,,
LKS1E5_Q4,Loki,1,5,"In S1E5, what massive Ant-Man villain relic is seen strewn across the landscape of the Void?","A giant-sized, pruned version of Yellowjacket's helmet (from the first Ant-Man movie) sits in the wasteland.",,,Ant-Man,
LKS1E5_Q5,Loki,1,5,"In S1E5, what is the name of the giant, carnivorous smoke monster guarding the Void, and how does it connect to Ravonna Renslayer and Kang?","The entity is Alioth, a trans-temporal being from the comics whose empire rivals Kang the Conqueror's. In the comics, Ravonna Renslayer is also tied to the 1993 storyline involving Alioth and Kang.",Y,,,
LKS1E5_Q6,Loki,1,5,"In S1E5, what real-world, famous debunked conspiracy theory ship drops into the Void?","The USS Eldridge, the World War II-era ship allegedly involved in the ""Philadelphia Experiment"" (a conspiracy theory claiming the ship was made invisible and teleported), drops into the Void.",,Y,,
LKS1E5_Q7,Loki,1,5,"In S1E5, how does Classic Loki reveal he managed to survive the events of Avengers: Infinity War in his timeline?","Classic Loki cast an incredibly powerful, lifelike projection of himself so convincing that even Thanos believed he had choked him to death, allowing the real Loki to hide as inanimate debris and escape to a lonely planet.",,,Avengers: Infinity War,
LKS1E5_Q8,Loki,1,5,"In S1E5, what epic sacrifice does Classic Loki make to help Loki and Sylvie enchant Alioth?","He uses his supreme sorcery to cast a massive, city-sized illusion of Asgard to distract and bait Alioth, sacrificing himself as he is consumed by the monster while laughing with glee.",,,,
LKS1E6_Q1,Loki,1,6,"In S1E6, the opening Marvel Studios sequence features audio quotes spanning the history of the MCU. What specific baby sound is subtly hidden at the very end of this montage?",The cry of baby Loki (from the flashback in the first Thor movie when Odin finds him abandoned as a Frost Giant) can be heard as the timeline orbits the Citadel.,,,Thor,
LKS1E6_Q2,Loki,1,6,"In S1E6, the architectural design of the Citadel at the End of Time features a specific artistic style reflecting its fractured state. What is this style?","The Citadel features a ""Kintsugi"" design (the Japanese art of repairing broken pottery with gold), representing how He Who Remains pieced together fragments of the fractured multiverse to build his stronghold.",,Y,,
LKS1E6_Q3,Loki,1,6,"In S1E6, who is finally revealed to be the ""man behind the curtain"" who created the Time-Keepers and the TVA?","The creator is He Who Remains, who is explicitly confirmed to be a 31st-century variant of Kang the Conqueror (played by Jonathan Majors).",Y,,,
LKS1E6_Q4,Loki,1,6,"In S1E6, what true history of the multiverse does He Who Remains confirm to Loki and Sylvie?","He confirms that the Miss Minutes orientation video was mostly true: variants of himself in the 31st century discovered the multiverse, shared technology, and eventually sparked a catastrophic Multiversal War against each other.",,,,
LKS1E6_Q5,Loki,1,6,"In S1E6, what item sits on He Who Remains's desk, and what does it signify about his control over the situation?","He has printed, bound scripts of everything Loki and Sylvie have said and will say during their meeting, proving he has lived through this scenario countless times and knows exactly what is going to happen.",,,,
LKS1E6_Q6,Loki,1,6,"In S1E6, what major physical shift signals the moment He Who Remains can no longer see into the future?","A massive rumble of thunder shakes the Citadel, and the timeline outside the window suddenly branches into chaos, marking the moment they ""crossed the threshold"" past his knowledge.",,,,
LKS1E6_Q7,Loki,1,6,"In S1E6, what does Sylvie ultimately do to He Who Remains, and what are his final words to her?","Sylvie chooses to stab and kill He Who Remains. As he dies, he winks at her and says, ""See you soon,"" knowing his death will simply unleash his more dangerous variants.",,,,
LKS1E6_Q8,Loki,1,6,"In S1E6, when Loki is pushed back through a Time Door into the TVA, what horrifying realization does he make when looking at the statues?","He realizes he has been sent to an alternate/reset TVA where Mobius and B-15 have no memory of him, and the Time-Keeper statues have been replaced by a massive statue of Kang the Conqueror.",Y,,,
LKS2E1_Q1,Loki,2,1,"In S2E1, what terrifying physical condition is Loki suffering from as he jumps uncontrollably through time in the TVA?","Loki is suffering from ""Time-Slipping,"" a violent condition where his consciousness and body are being ripped backward and forward between the past and present TVA.",,,,
LKS2E1_Q2,Loki,2,1,"In S2E1, who is the author of the official TVA Guidebook that Casey carries, and what mythological concept is his name derived from?","The author is Ouroboros (O.B.). His name comes from the ancient mythological symbol of a snake eating its own tail, representing the cyclical nature of time and self-fulfilling prophecies.",,Y,,
